[220.73444126   2.58823973  98.88865714   1.54367441]
[183.85719037   1.37869194 226.97306796   1.87156161]
[170.6460989    1.41522308 164.71375211   2.07573505]
[330.6335878    1.0480107  269.95584123   2.75285482]
[137.61431883   1.868026   144.02325852   2.54945273]
[137.61431883   1.868026   144.02325852   1.46841322]
[220.73444126   2.58823973  98.88865714   2.62471329]
[184.40115801   1.37869194 269.9903515    1.87156161]
[198.71458936   1.04944647 226.97306796   1.87156161]
[330.08814256   1.0480107  226.93855769   2.75285482]
[330.08814256   2.61906537  99.11674815   2.75401103]
[176.95086891   1.36856318 226.93904619   1.57946745]
[130.67513242   1.87772084 225.05405649   1.4852551 ]
[220.73444126   1.03249363 226.71046669   1.54250654]
[330.08814256   1.0480107  226.97257946   2.75285482]
[330.08814256   1.0480107  226.93839046   2.75285482]
[101.16013569   1.33939902 224.96065099   1.49637925]
[330.08814256   1.04424736 226.93855769   2.75285482]
[330.08814256   1.0480107  226.97274669   2.75285482]
[220.73444126   1.90949249 226.80387218   1.53800642]
[330.08814256   1.0480107  226.97272826   2.75285482]
[330.08814256   1.01300868 226.93839046   2.99833902]
[330.08814256   1.04442943 226.93855769   2.75285482]
[330.08814256   1.0480107  226.93840889   2.75285482]
[330.08814256   1.04782862 226.93855769   2.75285482]
[63.47572249  1.46522916 74.35410902  1.99294888]
[ 63.70079862   2.87016465 354.35730023   2.25119466]
[268.75980208   1.50382624 321.25001052   1.54017195]
[ 88.87940913   1.34981187 238.87822361   2.15684972]
[ 45.05452859   2.65192766 353.05059141   1.83992186]
[ 63.58363878   1.3152635  239.65943449   2.25119466]
[ 63.49480192   1.46176556 353.05059141   1.83979913]
[ 63.42106093   2.87109646 353.00765624   1.82769192]
[ 88.99656896   2.90202318 353.37795236   2.15684972]
[45.03544917  2.65539024 74.35410902  1.99307162]
[ 63.7283896    1.31738254 237.3609305    2.25119466]
[ 63.49480192   1.3077604  353.05059141   1.8230768 ]
[ 88.7346583    1.31468159 238.87822361   2.15684972]
[ 63.58363878   1.34380137 238.59978897   2.25119466]
[ 63.70079862   2.84093812 355.06578356   2.25119466]
[ 63.58363878   1.34380137 238.60385646   2.25119466]
[ 63.58363878   1.3152635  239.655367     2.25119466]
[ 63.7283896    1.25467478 237.3609305    2.25119466]
[ 63.7283896    1.31735469 238.2233306    2.25119466]
[ 63.58363878   1.31529135 239.65943449   2.25119466]
[ 63.58363878   1.31524326 238.58524016   2.25119466]
[ 63.58363878   1.34327199 239.65943449   2.25119466]
[ 63.58363878   1.31473875 238.60385646   2.25119466]
[ 63.58363878   1.34384946 239.67805079   2.25119466]
[ 63.58363878   1.31579288 238.59978897   2.25119466]
[325.46270719   1.19893442  19.6429279    2.21621545]
[ 98.00330125   2.87721436 193.51287161   2.97710151]
[280.95688964   1.72680954 226.23592054   2.15309509]
[ 33.99002696   2.42691273 349.80453816   1.47249461]
[305.33715931   2.82074196 297.53636565   1.98337634]
[281.91298528   1.72680954 225.14740941   2.14824058]
[284.17726954   1.72680954 226.23592054   2.14346106]
[ 97.04719951   2.87721436 194.60138274   2.97754787]
[325.46270719   1.41692578  19.6429279    2.21621545]
[ 94.78290818   2.87721436 193.51287161   2.98058898]
[305.33715931   2.82074196 297.53636565   1.95800054]
[ 97.04719951   2.87721436 194.60138274   2.75763023]
[ 98.00330125   2.87721436 189.00525779   2.98661892]
[ 97.0438749    2.81948515 193.51287161   2.97710151]
[ 98.00662586   2.87721436 194.60138274   2.97754787]
[ 66.72658917   2.77204903 179.17061606   2.76000961]
[ 97.98923223   2.87721436 194.60138274   2.97511649]
[ 97.04719951   2.87721436 194.60138274   2.76351731]
[ 97.04719951   2.87721436 194.60138274   2.97161048]
[103.28990195   2.87721436 193.51287161   2.83702619]
[103.33619779   2.87721436 194.60138274   2.75763023]
[ 97.11232726   2.87721436 193.48793476   2.76351731]
[ 49.71028772   2.87721436 198.26810878   2.76013921]
[ 97.00090367   2.87721436 193.51287161   2.83702619]
[103.2247742    2.87721436 194.6263196    2.83702619]
