[211.76378383   2.26604668  42.13973226   1.95396182]
[254.21507085   1.07389951 165.46010607   2.58519307]
[290.44482906   1.67748705   6.34110336   1.51786271]
[ 46.08041525   1.91662551 167.26954164   1.01869525]
[ 64.50043837   1.1386553  345.64685863   1.77347433]
[254.21507085   1.07219893 165.46010607   2.58519307]
[ 46.08041525   1.91662551 165.62141039   1.01869525]
[211.76378383   2.26604668  11.94486903   1.95396182]
[290.44482906   1.67927926   6.34110336   1.51786271]
[ 64.50043837   1.1386553  347.11635618   1.77347433]
[ 46.08041525   1.91290711 165.48046616   1.01869525]
[ 46.88163757   1.91635755 165.62141039   1.0226257 ]
[ 46.08041525   1.91662551 165.62964731   1.01869525]
[290.44482906   1.68120545   6.8801643    1.51786271]
[210.96274228   2.26631464  42.13973226   1.95565614]
[ 46.07307536   1.91635358 165.62141039   1.01892173]
[ 46.08041525   1.91662551 165.73393547   1.01869525]
[ 46.08041525   1.91662551 184.08362045   1.01869525]
[ 46.88897746   1.91662948 165.62141039   1.16271807]
[ 46.08041525   1.91662551 167.15701656   1.01869525]
[ 46.08041525   1.91662551 165.83802431   1.01139863]
[ 45.92493819   1.91662551 167.15701656   1.01869525]
[ 46.08041525   1.91662551 183.86700654   1.01869525]
[ 46.08041525   1.91662551 184.08362045   1.01971598]
[ 13.69493716   1.91662551 184.08362045   1.00781049]
